grapheme,phoneme,organized_grapheme,waw_o_exception_idx,silent_waw_idx,unwritten_A_phone_idx,spoken_A_grapheme_idx,is_variant,variant_num,variant_of_index
لهیب,"('l', 'a', 'h', 'i', 'b')",لَهیب,,,,,False,,
مروارید‌ساز,"('m', 'o', 'r', 'v', 'A', 'r', 'i', 'd', 's', 'A', 'z')",مُروارید‌ساز,,,,,False,,
ملانین,"('m', 'e', 'l', 'A', 'n', 'i', 'n')",مِلانین,,,,,False,,
فراگرفته‌‌شده,"('f', 'a', 'r', 'A', 'g', 'e', 'r', 'e', 'f', 't', 'e', 'S', 'o', 'd', 'e')",فَراگِرِفتِه‌‌شُدِه,,,,,False,,
سپور,"('s', 'u', 'p', 'u', 'r')",سُپور,,,,,False,,
پانسمان,"('p', 'A', 'n', 's', 'e', 'm', 'A', 'n')",پانسِمان,,,,,False,,
شهرکرد,"('S', 'a', 'h', 'r', 'e', 'k', 'o', 'r', 'd')",شَهرِکُرد,,,,,False,,
الکتروکاردیوگرام,"('?', 'e', 'l', 'e', 'k', 't', 'e', 'r', 'o', 'k', 'A', 'r', 'd', 'i', 'y', 'o', 'g', 'e', 'r', 'A', 'm')",اِلِکتِروکاردیوگِرام,"5,11",,,,False,,
مرقوم,"('m', 'a', 'r', 'q', 'u', 'm')",مَرقوم,,,,,False,,
عبدالظاهر,"('?', 'a', 'b', 'd', 'o', 'z', 'z', 'A', 'h', 'e', 'r')",عَبداُلظِاهر,,,7,5,False,,
بلایا,"('b', 'a', 'l', 'A', 'y', 'A')",بَلایا,,,,,False,,
محجر,"('m', 'a', 'h', 'j', 'a', 'r')",مَحجَر,,,,,False,,
مادام‌العمری,"('m', 'A', 'd', 'A', 'm', 'o', 'l', '?', 'o', 'm', 'r', 'i')",مادام‌اُلعُمری,,,,,False,,
خودسترونی,"('x', 'o', 'd', 's', 'e', 't', 'a', 'r', 'v', 'a', 'n', 'i')",خودسِتَروَنی,1,,,,False,,
